"周","周次","周范围（大致）","周一","周二","周三","周四","周五","周六","周日","每日预计小时（周一-周六）","每周预计总小时","交付物/验收标准","工具/参考资源"
"1","第1周","开始周（立即）","复习 C 基础：数据类型/控制流/函数","修复仓库中的 bug（电梯楼层.c、内存初.c）并提交","指针与数组强化练习（阅读并注释指针.c）","动态内存练习（malloc/free；写小 demo）","学习并配置 Git/GitHub 基础（branch/commit/PR）","用 valgrind/AddressSanitizer 检查一遍练习程序","休息","7","42","修复后的仓库（README 草稿 + bug-fix commit）","K&R / 廖雪峰 C 教程; git 文档; valgrind"
"2","第2周","预科强化","深入理解指针与传参（练习题）","实现并测试 FindMin 与更多数组算法","字符串处理与缓冲区（scanf/gets 风险）","用 gdb 跟踪简单崩溃并记录流程","为项目添加简单 Makefile（-Wall -Wextra）","补充 README：运行示例与截图","休息","7","42","注释良好代码 + 简单测试脚本","gdb 教程; Makefile 示例"
"3","第3周","预科强化","动态内存进阶：内存泄漏/使用后释放示例","使用工具检测并修复（ASan/valgrind）","练习文件 I/O（读写文本文件）","实现并测试小函数库（utils.c）","开始每日算法刷题：数组/字符串（6 题/周）","周末项目小迭代（Makefile + 单元测试 harness）","休息","7","42","valgrind 清洁至少两个程序","AddressSanitizer/valgrind"
"4","第4周","预科强化","练习 gdb 高级用法（断点/查看内存）","添加编译选项与 CI 思路（编译检查）","统一文件命名与项目结构整理","将所有练习加入 Makefile 与 demo 脚本","撰写 README 完整版（含运行步骤）","录制 2 分钟演示视频/GIF 上传到 repo（或说明）","休息","7","42","Makefile + README + demo GIF","obs/peek 等录屏工具"
"5","第5周","数据结构基础 wk1","学习数组与链表实现（单向链表）","实现链表插入/删除/遍历并写测试","刷题：链表/数组（8-10 题）","复杂度分析与撰写小报告","构建数据结构代码库 skeleton（data_structs/）","代码 review 与重构（清理注释/风格）","休息","7","42","链表实现 + 刷题记录","《算法导论》/力扣基础专题"
"6","第6周","数据结构 wk2","学习栈与队列并实现（数组与链式）","使用栈做括号匹配、小表达式求值","刷题：栈/队列题 8 题","开始实现哈希表（开放寻址或链表法）","为数据结构库写 README 与用法示例","周末整合并加入 CI 编译检查","休息","7","42","栈/队列/哈希表实现","力扣; C 实现参考"
"7","第7周","排序与查找 wk1","学习与实现归并排序与快速排序","写基准测试比较两者在不同输入上的性能","刷题：排序/二分题 8 题","复习递归与分治范式","把排序算法加入 data_structs 库并测试","整理性能测试结果并写短结论","休息","7","42","排序实现 + 性能报告","算法书；简单 benchmark 脚本"
"8","第8周","排序与查找 wk2","实现堆排序与优先队列（binary heap）","实现二分查找模板并测试边界条件","刷题：中等难度排序相关题 6-8 题","学习复杂度与稳定性讨论","将优先队列用于一个小应用（例如任务调度模拟）","周末代码复盘并完善文档","休息","7","42","堆/优先队列实现 + 小应用","优先队列示例代码"
"9","第9周","递归与算法设计 wk","学习递归模板与尾递归优化思想","实现常见递归算法（斐波那契 memo 化）","刷题：递归/分治 8 题","练习写复杂度推导与证明（简单题）","把递归题目的优化版写入题解目录","周末小测验：5 道题限时做完并记录解题思路","休息","7","42","题解目录 + 复杂度推导笔记","在线题库; 笔记模板"
"10","第10周","数论与离散数学 wk1","学习 GCD、快速幂、模运算基础","实现欧几里得算法与快速幂函数","刷题：数论入门 6-8 题","离散数学基础（集合/逻辑）读书笔记","把工具加入 utils 库并写示例","休息","7","42","数论工具库 + 示例","数论在线教材/洛谷教程"
"11","第11周","数论与离散数学 wk2","学习素数筛（埃拉托斯特尼筛）与约数枚举","实现筛法并用作题目加速","刷题：数论进阶 6-8 题","学习组合数与模数运算应用","写小测试覆盖边界情况","休息","7","42","筛法实现 + 题解","洛谷/力扣专题"
"12","第12周","第一个中型项目 需求与设计","选择项目（命令行记账/文本编辑器/贪吃蛇），确定需求","设计模块（I/O、数据结构、UI/控制循环）","搭建项目骨架并写 README 与开发计划","实现基础框架（main loop + Makefile）","准备每周目标与任务分配（若与同学合作则设 PR 流程）","休息","7","42","项目骨架 + README","项目管理模板（issues/README）"
"13","第13周","中型项目 实现 wk1","实现核心功能（数据存储/主逻辑）","写单元测试与手动测试用例","刷题维持节奏（每周 6 题）","优化内存与性能（避免泄漏）","每日代码 review 与重构","休息","7","42","核心功能可用 + 测试覆盖","项目 repo"
"14","第14周","中型项目 实现 wk2","完善用户交互/错误处理/输入验证","增加持久化（简单文件或 SQLite 选项）","写用户文档与使用例子","开始准备演示素材（GIF/视频）","在 README 中写示例场景与输出","休息","7","42","项目可演示版本 + GIF","SQLite 示例（如需）"
"15","第15周","中型项目 完成与发布","bug 修复与边界测试","制作 release（tag）并写 release notes","录制 3 分钟演示并上传","提交项目至作品集中（README 优化）","回顾并写周志：学到的主要技术点","休息","7","42","Release + 演示视频","GitHub Releases"
"16","第16周","寒假刷题准备 wk1","开始算法冲刺：图论入门（BFS/DFS）","练习题：树/图基础 8-10 题","实现 BFS/DFS 模板和常见变体","阅读相关题解与优化策略","做错题本并分类记录","休息","7","42","图论工具与题解集合","图论教材/力扣图专题"
"17","第17周","寒假刷题 wk2","学习贪心算法与证明技巧","刷题：贪心 10-12 题（每日 1-2 题）","总结贪心模式并写模板代码","优化刷题速度与解题策略","继续错题回顾与整理","休息","7","42","贪心模板集合 + 题解","贪心专题笔记"
"18","第18周","寒假刷题 wk3","动态规划基础：状态定义与转移方程","从简单背包/子序列题入门","刷题：DP 基础 8-10 题","写 DP 模板并注释常见技巧","周末做一次模拟竞赛（3 题 90 分钟）","休息","7","42","DP 模板 + 模拟竞赛记录","动态规划教程"
"19","第19周","学期二 准备 wk1","操作系统基础：进程/线程/内存管理概念","实验：用 C 模拟简单进程切换（理解概念）","阅读操作系统核心概念笔记","刷题维持节奏（每周 6 题）","设置并发练习环境（pthread）","休息","7","42","OS 概念笔记 + 简单示例","MIT OCW / 相关书籍"
"20","第20周","并发与同步 wk","学习 pthread 用法、互斥与条件变量","实现生产者-消费者模型并复现 race 条件","使用工具检测并修复竞态（TSAN 可选）","把并发样例写成可复用模块","休息","7","42","并发示例 + race 修复说明","pthread 文档; TSAN"
"21","第21周","网络基础 wk1","TCP/UDP 基本概念与 socket API 入门","实现简单 TCP 回显服务器与客户端","测试并测量吞吐与延迟","学习 HTTP 基本协议栈概念","休息","7","42","TCP 客户端/服务器示例","Beej’s Guide to Network Programming"
"22","第22周","网络基础 wk2","实现一个小型 HTTP 服务器（只处理 GET）或回显增强版","理解并实现请求解析与响应流程","添加并发支持（线程或 select/poll）","写集成测试：curl 请求测试","休息","7","42","简易 HTTP 服务 + 测试脚本","HTTP/1.1 教程"
"23","第23周","数据库基础 wk1","学习关系型数据库基础（SQL）与 ACID 概念","在项目中引入 SQLite 做持久化示例","实现 CRUD 操作并写 SQL 语句练习","学习事务概念并测试回滚机制","休息","7","42","SQLite 持久化示例","SQLite 文档"
"24","第24周","数据库基础 wk2","优化查询与索引基础学习","在项目中加入索引测试并测量性能改善","学习简单的 ORM 思想并实现轻量封装","休息","7","42","索引性能对比报告","SQLite 教程"
"25","第25周","系统整合 wk","把前面实现的组件（网络/DB/并发）整合进小服务","设计 API 接口并实现基本路由/持久化/并发处理","写集成测试与部署脚本（Docker 可选）","休息","7","42","可运行的小服务 + 集成测试","Docker 入门（可选）"
"26","第26周","软件工程实践 wk1","学习版本控制进阶：rebase/merge/PR 流程","开始与同学协作（若可能），使用 issues/PR 管理任务","引入 CI：GitHub Actions 做自动编译与基本测试","休息","7","42","PR 流程示例 + CI 基本配置","GitHub Actions 文档"
"27","第27周","软件工程实践 wk2","代码质量工具：静态分析、格式化（clang-format/gcc 警告）","把 linter/格式化加入 CI 流程","写贡献指南（CONTRIBUTING.md）与代码风格指南","休息","7","42","CI + linter + CONTRIBUTING 文件","clang-format; cppcheck(或适合 C 的 linter)"
"28","第28周","项目二立项 wk","选择第二个较有展示力的项目（网络服务/小型 ML 工具链）","明确需求：输入/输出，性能目标，技术栈","分周计划并创建 issue 列表","开始实现骨架","休息","7","42","项目二需求与 issue 列表","项目管理模板"
"29","第29周","项目二 实现 wk1","实现核心模块（例如模型推理接口或服务端路由）","若是 ML 相关，可用 Python/Flask 快速原型，再做 C 优化","刷题维持节奏（每周 4-6 题）","写单元与集成测试","休息","7","42","核心模块原型 + 测试","PyTorch/Flask（若 ML 原型）"
"30","第30周","项目二 实现 wk2","加入优化（多线程/批处理/缓存策略）","实现简单基准测试与性能调优","准备中期 demo 并收集反馈","休息","7","42","性能基准 + demo","benchmark 工具"
"31","第31周","研究与阅读 wk","阅读 AI 相关基础（机器学习入门：线性回归/优化/神经网络概念）","实现一个从零开始的简单感知机或线性回归（用 C 或 Python）","写实验记录与可复现步骤","休息","7","42","简单 ML 实现 + 实验记录","吴恩达 ML 课程; 相关教科书"
"32","第32周","机器学习实操 wk1","学习数据处理与特征工程基础","练习用 numpy/pandas 做数据预处理（Python 快速实现）","实现并理解简单模型训练/评估流程","休息","7","42","数据预处理脚本 + 模型训练笔记","numpy/pandas 教程"
"33","第33周","机器学习实操 wk2","实现小型神经网络或使用框架（PyTorch/TensorFlow）做实验","学习训练流程、损失曲线与过拟合处理","把实验结果写入报告并绘图","休息","7","42","训练脚本 + 实验报告","PyTorch 入门教程"
"34","第34周","ML + 系统整合 wk","把模型包装成服务（简单 REST 接口），或做批处理推理","在项目二中集成模型推理并测试端到端流程","休息","7","42","模型服务原型 + 集成测试","Flask/FastAPI；模型保存加载示例"
"35","第35周","性能与部署 wk","学习简单部署方式（Docker 容器化/Heroku/GF 小部署）","把服务容器化并在本地或云上部署一次","写部署说明与恢复步骤","休息","7","42","部署文档 + 可运行部署实例","Docker 教程"
"36","第36周","安全与工程成熟度 wk","学习基本安全概念（输入校验、认证、权限）","在服务中加入基本验证与错误处理","写测试覆盖攻击面（如错误输入）","休息","7","42","安全改进记录 + 测试","OWASP 基础资料"
"37","第37周","年度冲刺 wk1","整理所有项目的 README、演示素材与 release","准备作品集页面（GitHub Pages 或个人网站）","修复遗留 bug 并补充测试","休息","7","42","作品集初版 + 项目 release","GitHub Pages 教程"
"38","第38周","年度冲刺 wk2","录制项目演示视频（每个项目 2-3 分钟）","准备中英双语项目介绍与简历要点","模拟技术演讲（5 分钟项目展示）","休息","7","42","演示视频 + 项目简介","录屏工具; 简历模板"
"39","第39周","模拟面试与优化 wk","进行 2 次算法模拟面试（45 分钟 each）","做行为面试准备（CAR/STAR 方法）","根据面试反馈补强薄弱点","休息","7","42","面试录音/评估与改进列表","leetcode; 面试题集"
"40","第40周","总结与规划下学年","整理一年的学习日志与成果清单","制定下一年学习目标与路线（研究/实习导向）","准备申请材料或导师联系模板（如目标是科研）","休息","7","42","年度总结报告 + 下一年计划","个人模板"
